P@200,best_mAP,epoch,loss_ce_epoch,loss_ce_step,loss_cons_text_epoch,loss_cons_text_step,loss_cons_visual_cross_epoch,loss_cons_visual_cross_step,loss_consistency_epoch,loss_consistency_step,loss_cross_modal_epoch,loss_cross_modal_step,mAP,step,train_loss_epoch,train_loss_step,val_P@200,val_mAP,val_map_200,val_p_200
,,0,,0.3853726387023926,,0.041446492075920105,,0.19352339208126068,,3.5555038452148438,,4.846502304077148,,49,,9.022348403930664,,,,
,,0,,0.3580459654331207,,0.03048630803823471,,0.19464430212974548,,2.0577425956726074,,4.198693752288818,,99,,6.83961296081543,,,,
,,0,,0.3204844892024994,,0.02637566439807415,,0.19390052556991577,,1.4438858032226562,,3.987301826477051,,149,,5.971948623657227,,,,
,,0,,0.30588945746421814,,0.023881198838353157,,0.19364000856876373,,1.4721744060516357,,3.7638511657714844,,199,,5.759437084197998,,,,
,,0,,0.24554042518138885,,0.0233524888753891,,0.19199654459953308,,1.0680081844329834,,3.0917279720306396,,249,,4.620625972747803,,,,
,,0,,0.26068803668022156,,0.023101596161723137,,0.19242334365844727,,0.7929452657699585,,3.3916542530059814,,299,,4.6608123779296875,,,,
,,0,,0.2250124216079712,,0.023169972002506256,,0.1910262107849121,,1.09538733959198,,3.1036887168884277,,349,,4.638284683227539,,,,
,,0,,0.20353643596172333,,0.022543080151081085,,0.19023680686950684,,0.8431719541549683,,3.1299877166748047,,399,,4.3894758224487305,,,,
,,0,,0.2238619178533554,,0.022578023374080658,,0.1893962323665619,,0.7652095556259155,,3.1205971240997314,,449,,4.321642875671387,,,,
0.7488844990730286,0.0010000000474974513,0,,,,,,,,,,,0.7770941853523254,449,,,0.7488844990730286,0.7770941853523254,0.7770941853523254,0.7488844990730286
,,0,0.29201892018318176,,0.02937876619398594,,0.19241715967655182,,1.6984277963638306,,3.7411344051361084,,,449,5.953373908996582,,,,,
,,1,,0.2689610421657562,,0.022811461240053177,,0.19044755399227142,,0.8079258799552917,,3.1598474979400635,,499,,4.449993133544922,,,,
,,1,,0.22309982776641846,,0.02233770489692688,,0.18871498107910156,,0.7005114555358887,,3.1432900428771973,,549,,4.2779541015625,,,,
,,1,,0.18836435675621033,,0.022285565733909607,,0.18828436732292175,,0.5743760466575623,,3.194234609603882,,599,,4.167544841766357,,,,
,,1,,0.21837110817432404,,0.022039640694856644,,0.1862432360649109,,0.7043450474739075,,3.0026581287384033,,649,,4.133656978607178,,,,
,,1,,0.22139938175678253,,0.02189115807414055,,0.18504828214645386,,0.5554525852203369,,2.824692487716675,,699,,3.808483839035034,,,,
,,1,,0.19369302690029144,,0.022501181811094284,,0.18456394970417023,,0.6005340814590454,,2.544593572616577,,749,,3.5458858013153076,,,,
,,1,,0.1845395863056183,,0.022277582436800003,,0.18215999007225037,,0.8408263921737671,,2.7413322925567627,,799,,3.9711356163024902,,,,
,,1,,0.17219355702400208,,0.02247294783592224,,0.17999278008937836,,0.7497247457504272,,2.833247184753418,,849,,3.9576311111450195,,,,
,,1,,0.1796547770500183,,0.02228746935725212,,0.17819690704345703,,0.4746607542037964,,2.49245023727417,,899,,3.34725022315979,,,,
0.7688900232315063,0.7770941853523254,1,,,,,,,,,,,0.7952583432197571,899,,,0.7688900232315063,0.7952583432197571,0.7952583432197571,0.7688900232315063
,,1,0.20110562443733215,,0.02223598212003708,,0.18510235846042633,,0.7250283360481262,,2.8679134845733643,,,899,4.0013861656188965,,,,,
,,2,,0.192139133810997,,0.022442037239670753,,0.18155235052108765,,0.6904653310775757,,2.9042937755584717,,949,,3.9908926486968994,,,,
,,2,,0.1833442896604538,,0.02238234132528305,,0.1792275309562683,,0.7214382886886597,,2.8211183547973633,,999,,3.927510976791382,,,,
,,2,,0.1875707060098648,,0.022150546312332153,,0.18004220724105835,,0.6970921754837036,,2.836440086364746,,1049,,3.923295736312866,,,,
,,2,,0.16060076653957367,,0.022397350519895554,,0.17648759484291077,,0.7330792546272278,,2.682912826538086,,1099,,3.775477647781372,,,,
,,2,,0.17000025510787964,,0.023028070107102394,,0.17634832859039307,,0.7582969665527344,,2.645782470703125,,1149,,3.77345609664917,,,,
,,2,,0.1823611557483673,,0.0230021383613348,,0.17553414404392242,,0.5367823839187622,,2.8049545288085938,,1199,,3.7226343154907227,,,,
,,2,,0.18757207691669464,,0.022863056510686874,,0.17346477508544922,,0.4451761245727539,,2.758472442626953,,1249,,3.5875484943389893,,,,
,,2,,0.15782718360424042,,0.022745124995708466,,0.17447879910469055,,0.5520315766334534,,2.8462188243865967,,1299,,3.7533013820648193,,,,
,,2,,0.15457211434841156,,0.02293708175420761,,0.17352092266082764,,0.5828263759613037,,2.4116854667663574,,1349,,3.3455419540405273,,,,
0.7733157873153687,0.7952583432197571,2,,,,,,,,,,,0.7995542287826538,1349,,,0.7733157873153687,0.7995542287826538,0.7995542287826538,0.7733157873153687
,,2,0.16908790171146393,,0.02263505756855011,,0.17666780948638916,,0.5934098958969116,,2.643507480621338,,,1349,3.605308771133423,,,,,
