P@200,best_mAP,epoch,loss_ce_epoch,loss_ce_step,loss_consistency_epoch,loss_consistency_step,loss_cross_modal_epoch,loss_cross_modal_step,mAP,step,train_loss_epoch,train_loss_step,val_P@200,val_mAP,val_map_200,val_p_200
,,0,,1.5307656526565552,,3.064967155456543,,4.172674179077148,,49,,8.768406867980957,,,,
,,0,,1.463108777999878,,1.7807221412658691,,3.497358560562134,,99,,6.741189956665039,,,,
,,0,,1.311741590499878,,1.3496633768081665,,3.2093617916107178,,149,,5.870766639709473,,,,
,,0,,1.6207636594772339,,1.1740803718566895,,2.9750473499298096,,199,,5.769891738891602,,,,
,,0,,0.7802171111106873,,1.0443216562271118,,2.497112512588501,,249,,4.321651458740234,,,,
,,0,,1.1832365989685059,,1.0849566459655762,,2.7380542755126953,,299,,5.006247520446777,,,,
,,0,,1.3468016386032104,,0.8931735754013062,,2.517597198486328,,349,,4.757572650909424,,,,
,,0,,1.0667364597320557,,1.095391869544983,,2.6741130352020264,,399,,4.836241722106934,,,,
,,0,,0.9173681735992432,,0.6502201557159424,,2.1447176933288574,,449,,3.712306022644043,,,,
,,0,,0.8044121265411377,,0.5295599102973938,,2.1490495204925537,,499,,3.4830214977264404,,,,
,,0,,0.8995505571365356,,0.5133898258209229,,2.5170838832855225,,549,,3.9300241470336914,,,,
,,0,,0.7972025871276855,,0.5464564561843872,,2.3401873111724854,,599,,3.6838464736938477,,,,
,,0,,1.0369024276733398,,0.6276441216468811,,2.2475037574768066,,649,,3.912050247192383,,,,
,,0,,0.6478937268257141,,0.5317959785461426,,1.9493632316589355,,699,,3.1290528774261475,,,,
,,0,,1.1513904333114624,,0.6540915966033936,,2.297410488128662,,749,,4.1028923988342285,,,,
,,0,,0.546532154083252,,0.6661866307258606,,2.2182114124298096,,799,,3.4309301376342773,,,,
,,0,,0.9380959272384644,,0.5995750427246094,,2.080623149871826,,849,,3.6182942390441895,,,,
,,0,,0.8425368070602417,,0.6217890381813049,,1.9368338584899902,,899,,3.4011597633361816,,,,
0.7740247249603271,0.0010000000474974513,0,,,,,,,0.799233615398407,899,,,0.7740247249603271,0.799233615398407,0.799233615398407,0.7740247249603271
,,0,1.050325632095337,,1.0805885791778564,,2.652230978012085,,,899,4.783145427703857,,,,,
,,1,,0.5978916883468628,,0.33562663197517395,,1.6610075235366821,,949,,2.5945258140563965,,,,
,,1,,0.674918532371521,,0.5542122721672058,,2.0186684131622314,,999,,3.2477993965148926,,,,
,,1,,0.6019810438156128,,0.46301352977752686,,1.7573084831237793,,1049,,2.822303295135498,,,,
,,1,,0.5620555877685547,,0.46941858530044556,,2.1325032711029053,,1099,,3.1639773845672607,,,,
,,1,,0.9993129968643188,,0.6256520748138428,,2.0759408473968506,,1149,,3.7009057998657227,,,,
,,1,,0.8573559522628784,,0.19942811131477356,,1.9619309902191162,,1199,,3.0187149047851562,,,,
,,1,,0.610085129737854,,0.44461479783058167,,1.8820054531097412,,1249,,2.9367055892944336,,,,
,,1,,0.7535560131072998,,0.47519153356552124,,1.928650975227356,,1299,,3.1573984622955322,,,,
,,1,,0.7541562914848328,,0.6408262252807617,,1.871618628501892,,1349,,3.266601324081421,,,,
,,1,,1.2876696586608887,,0.5761695504188538,,2.2845230102539062,,1399,,4.148362159729004,,,,
,,1,,0.5155165791511536,,0.6503578424453735,,1.726812481880188,,1449,,2.8926868438720703,,,,
,,1,,0.7243540287017822,,0.32491758465766907,,1.8832405805587769,,1499,,2.9325122833251953,,,,
,,1,,0.4771348834037781,,0.5166776180267334,,1.7498304843902588,,1549,,2.743643045425415,,,,
,,1,,0.7324792146682739,,0.5546116828918457,,2.006866216659546,,1599,,3.293957233428955,,,,
,,1,,0.8003446459770203,,0.20899465680122375,,1.7014774084091187,,1649,,2.7108166217803955,,,,
,,1,,0.5297478437423706,,0.5613998174667358,,1.8593740463256836,,1699,,2.950521945953369,,,,
,,1,,0.4120323061943054,,0.48954543471336365,,1.8755176067352295,,1749,,2.777095317840576,,,,
,,1,,0.5748510360717773,,0.39903318881988525,,1.7307788133621216,,1799,,2.704663038253784,,,,
0.7819245457649231,0.799233615398407,1,,,,,,,0.8070297241210938,1799,,,0.7819245457649231,0.8070297241210938,0.8070297241210938,0.7819245457649231
,,1,0.70438152551651,,0.5048102736473083,,1.970323920249939,,,1799,3.1795129776000977,,,,,
,,2,,0.7164674997329712,,0.555011510848999,,1.9968938827514648,,1849,,3.2683730125427246,,,,
,,2,,0.4001542329788208,,0.24612078070640564,,1.692702293395996,,1899,,2.338977336883545,,,,
,,2,,0.5633277297019958,,0.3802318572998047,,1.7630629539489746,,1949,,2.70662260055542,,,,
,,2,,0.6039005517959595,,0.5560885071754456,,1.8762731552124023,,1999,,3.036262035369873,,,,
,,2,,0.5961019396781921,,0.4468840956687927,,1.7591700553894043,,2049,,2.8021562099456787,,,,
,,2,,0.8527379035949707,,0.5868505239486694,,1.8873039484024048,,2099,,3.326892375946045,,,,
,,2,,0.7072857618331909,,0.4490065574645996,,1.8690708875656128,,2149,,3.0253634452819824,,,,
,,2,,0.4460096061229706,,0.5379664897918701,,1.4866639375686646,,2199,,2.470640182495117,,,,
,,2,,0.6605017185211182,,0.24956701695919037,,2.1077661514282227,,2249,,3.0178349018096924,,,,
,,2,,0.7619483470916748,,0.47715866565704346,,1.7777130603790283,,2299,,3.016820192337036,,,,
,,2,,0.6413631439208984,,0.35666975378990173,,1.7103568315505981,,2349,,2.7083897590637207,,,,
,,2,,0.7764713168144226,,0.4393468201160431,,1.9070631265640259,,2399,,3.1228814125061035,,,,
,,2,,0.5525233149528503,,0.4598895013332367,,1.6628947257995605,,2449,,2.675307512283325,,,,
,,2,,0.9128660559654236,,0.7139748930931091,,1.8548099994659424,,2499,,3.4816510677337646,,,,
,,2,,0.36056527495384216,,0.4273352324962616,,1.7931138277053833,,2549,,2.5810141563415527,,,,
,,2,,0.6596949696540833,,0.3792925477027893,,1.9799402952194214,,2599,,3.018927812576294,,,,
,,2,,0.8032126426696777,,0.44172534346580505,,1.6841331720352173,,2649,,2.9290711879730225,,,,
,,2,,0.4547784924507141,,0.22916452586650848,,1.4059654474258423,,2699,,2.0899083614349365,,,,
0.7812545299530029,0.8070297241210938,2,,,,,,,0.8060531616210938,2699,,,0.7812545299530029,0.8060531616210938,0.8060531616210938,0.7812545299530029
,,2,0.5871031284332275,,0.4257223606109619,,1.776847004890442,,,2699,2.7896745204925537,,,,,
,,3,,0.40269073843955994,,0.24969327449798584,,1.6612895727157593,,2749,,2.313673496246338,,,,
,,3,,0.3364010155200958,,0.32615065574645996,,1.5393905639648438,,2799,,2.201942205429077,,,,
,,3,,0.7369561195373535,,0.3765779733657837,,1.8651185035705566,,2849,,2.9786524772644043,,,,
,,3,,0.34781086444854736,,0.34627214074134827,,1.6282610893249512,,2899,,2.3223440647125244,,,,
