P@200,best_mAP,epoch,loss_ce_epoch,loss_ce_step,loss_cons_text_epoch,loss_cons_text_step,loss_cons_visual_cross_epoch,loss_cons_visual_cross_step,loss_consistency_epoch,loss_consistency_step,loss_cross_modal_epoch,loss_cross_modal_step,mAP,step,train_loss_epoch,train_loss_step,val_P@200,val_mAP,val_map_200,val_p_200
,,0,,0.3733268678188324,,0.05957835167646408,,0.19152843952178955,,3.6525015830993652,,4.73159646987915,,49,,9.00853157043457,,,,
,,0,,0.3440879285335541,,0.04099690169095993,,0.19168540835380554,,2.07511830329895,,3.955958604812622,,99,,6.607847213745117,,,,
,,0,,0.30430155992507935,,0.035114046186208725,,0.190410315990448,,1.4825072288513184,,3.757859945297241,,149,,5.770192623138428,,,,
,,0,,0.2840064465999603,,0.03294457122683525,,0.19018641114234924,,1.5047717094421387,,3.5822641849517822,,199,,5.594173908233643,,,,
,,0,,0.2367568016052246,,0.03274708613753319,,0.18833795189857483,,1.0862435102462769,,2.9637057781219482,,249,,4.507791042327881,,,,
,,0,,0.24963688850402832,,0.03157563507556915,,0.18843090534210205,,0.7938179969787598,,3.2848362922668457,,299,,4.54829740524292,,,,
,,0,,0.21918781101703644,,0.03093114122748375,,0.18727782368659973,,1.1342365741729736,,3.014737844467163,,349,,4.586370944976807,,,,
,,0,,0.19802701473236084,,0.030199198052287102,,0.18658208847045898,,0.8670958876609802,,3.041856527328491,,399,,4.323760509490967,,,,
,,0,,0.2176899015903473,,0.030044041574001312,,0.18531017005443573,,0.773525595664978,,3.066232919692993,,449,,4.272802829742432,,,,
0.7632976174354553,0.0010000000474974513,0,,,,,,,,,,,0.7901015877723694,449,,,0.7632976174354553,0.7901015877723694,0.7901015877723694,0.7632976174354553
,,0,0.2817433178424835,,0.04071482643485069,,0.18904060125350952,,1.7263754606246948,,3.613049030303955,,,449,5.850927352905273,,,,,
,,1,,0.2554435729980469,,0.030192378908395767,,0.18592309951782227,,0.8212693333625793,,3.07283091545105,,499,,4.365659236907959,,,,
,,1,,0.21860428154468536,,0.029470007866621017,,0.1840818226337433,,0.7118067145347595,,3.052259922027588,,549,,4.196223258972168,,,,
,,1,,0.18628312647342682,,0.029162585735321045,,0.1841706931591034,,0.5711559653282166,,3.145028829574585,,599,,4.1158013343811035,,,,
,,1,,0.2195795327425003,,0.02881426364183426,,0.18213096261024475,,0.7193444967269897,,2.9621500968933105,,649,,4.1120195388793945,,,,
,,1,,0.21763621270656586,,0.02821926400065422,,0.18034957349300385,,0.566131591796875,,2.7356505393981934,,699,,3.727987051010132,,,,
,,1,,0.18963877856731415,,0.028529733419418335,,0.18012279272079468,,0.5970538854598999,,2.480464458465576,,749,,3.4758098125457764,,,,
,,1,,0.18504218757152557,,0.028478208929300308,,0.17778156697750092,,0.8291797637939453,,2.7180426120758057,,799,,3.9385242462158203,,,,
,,1,,0.1718282401561737,,0.028294334188103676,,0.17550106346607208,,0.7591537833213806,,2.8072421550750732,,849,,3.9420197010040283,,,,
,,1,,0.1807764768600464,,0.02799980342388153,,0.17348897457122803,,0.47712963819503784,,2.4894895553588867,,899,,3.3488845825195312,,,,
0.7756337523460388,0.7901015877723694,1,,,,,,,,,,,0.8012223839759827,899,,,0.7756337523460388,0.8012223839759827,0.8012223839759827,0.7756337523460388
,,1,0.19870544970035553,,0.028809133917093277,,0.18073596060276031,,0.7342536449432373,,2.809797525405884,,,899,3.952305316925049,,,,,
,,2,,0.17790476977825165,,0.02782147191464901,,0.1769130527973175,,0.696943998336792,,2.8465075492858887,,949,,3.926090955734253,,,,
,,2,,0.18337967991828918,,0.027859313413500786,,0.17491549253463745,,0.7364505529403687,,2.7966158390045166,,999,,3.9192206859588623,,,,
,,2,,0.18891625106334686,,0.027620308101177216,,0.1757519692182541,,0.6996519565582275,,2.8063526153564453,,1049,,3.8982930183410645,,,,
,,2,,0.16047368943691254,,0.027606477960944176,,0.17221122980117798,,0.7402525544166565,,2.6820831298828125,,1099,,3.7826268672943115,,,,
,,2,,0.17108556628227234,,0.028163686394691467,,0.1717953085899353,,0.7599593997001648,,2.5869815349578857,,1149,,3.7179856300354004,,,,
,,2,,0.17605070769786835,,0.028253011405467987,,0.17161263525485992,,0.543799877166748,,2.7270524501800537,,1199,,3.646768808364868,,,,
,,2,,0.18463174998760223,,0.028476184234023094,,0.16916486620903015,,0.4450368583202362,,2.716001510620117,,1249,,3.543311357498169,,,,
,,2,,0.16069605946540833,,0.02812018245458603,,0.17050814628601074,,0.5593203902244568,,2.7918448448181152,,1299,,3.7104897499084473,,,,
,,2,,0.14988209307193756,,0.028325652703642845,,0.16915571689605713,,0.5930528044700623,,2.3401706218719482,,1349,,3.2805867195129395,,,,
0.7772628664970398,0.8012223839759827,2,,,,,,,,,,,0.8029372692108154,1349,,,0.7772628664970398,0.8029372692108154,0.8029372692108154,0.7772628664970398
